{1: [2, 3], 2: [7, 1, 4], 3: [6, 5], 'total_second': 10013}
{1: [3, 1], 2: [7, 4], 3: [2, 6, 5], 'total_second': 9093}
{1: [3], 2: [7, 1, 4], 3: [2, 6, 5], 'total_second': 9972}
{1: [2, 3, 1], 2: [7, 4], 3: [6, 5], 'total_second': 9134}
{1: [3, 5], 2: [7, 4], 3: [2, 6, 1], 'total_second': 9095}
{1: [3, 5], 2: [7, 1, 4], 3: [2, 6], 'total_second': 10003}
{1: [3, 5], 2: [7, 1], 3: [4, 2, 6], 'total_second': 10082}
{1: [6, 3], 2: [7, 4], 3: [2, 5, 1], 'total_second': 8863}
{1: [6, 3], 2: [7], 3: [4, 2, 5, 1], 'total_second': 8926}
{1: [6, 3], 2: [7, 1, 4], 3: [2, 5], 'total_second': 9651}
{1: [6, 3], 2: [7, 1], 3: [4, 2, 5], 'total_second': 9730}
{1: [2, 3], 2: [7, 4], 3: [5, 6, 1], 'total_second': 9197}
{1: [3, 5], 2: [7], 3: [4, 2, 6, 1], 'total_second': 9158}
{1: [2, 6, 3], 2: [7, 4], 3: [5, 1], 'total_second': 8824}
{1: [2, 6, 3], 2: [7], 3: [4, 5, 1], 'total_second': 8886}
{1: [2, 6, 3], 2: [7, 1, 4], 3: [5], 'total_second': 9612}
{1: [2, 6, 3], 2: [7, 1], 3: [4, 5], 'total_second': 9690}
{1: [2, 6, 3], 2: [5], 3: [4, 7, 1], 'total_second': 9955}
{1: [2, 6, 3], 2: [5, 4], 3: [7, 1], 'total_second': 9745}
{1: [6, 3], 2: [2, 5], 3: [4, 7, 1], 'total_second': 10021}
{1: [6, 3], 2: [5, 4], 3: [7, 2, 1], 'total_second': 10170}
{1: [6, 3, 1], 2: [7, 4], 3: [2, 5], 'total_second': 8772}
{1: [6, 3, 1], 2: [7], 3: [4, 2, 5], 'total_second': 8835}
{1: [6, 3, 1], 2: [2, 5], 3: [4, 7], 'total_second': 9170}
{1: [6, 3, 1], 2: [5, 4], 3: [7, 2], 'total_second': 10208}
{1: [6, 3, 1], 2: [5], 3: [7, 2, 4], 'total_second': 10369}
{1: [2, 3, 5], 2: [7, 4], 3: [6, 1], 'total_second': 9136}
{1: [2, 3, 5], 2: [7], 3: [4, 6, 1], 'total_second': 9197}
{1: [2, 3, 5], 2: [7, 1, 4], 3: [6], 'total_second': 10044}
{1: [2, 3, 5], 2: [7, 1], 3: [4, 6], 'total_second': 10121}
{1: [2, 6, 3], 2: [5, 1], 3: [4, 7], 'total_second': 9162}
{1: [6, 3], 2: [5, 1], 3: [7, 2, 4], 'total_second': 10427}
{1: [2, 3, 1], 2: [7], 3: [4, 6, 5], 'total_second': 9195}
{1: [2, 3], 2: [7, 1], 3: [4, 6, 5], 'total_second': 10090}
{1: [5, 3, 1], 2: [7, 4], 3: [2, 6], 'total_second': 9168}
{1: [5, 3, 1], 2: [7], 3: [4, 2, 6], 'total_second': 9231}
{1: [6, 3], 2: [5], 3: [4, 7, 2, 1], 'total_second': 10380}
{1: [3], 2: [7, 4], 3: [2, 6, 5, 1], 'total_second': 9184}
{1: [2, 6, 3, 1], 2: [7, 4], 3: [5], 'total_second': 8733}
